GPU: NVIDIA GeForce RTX 4090
VRAM: 23.5 GB

======================================================================
Few-Shot Open Set Recognition - Episodic Training Pipeline
Backbone: yamnet
======================================================================

Loading datasets...
使用动态加载模式，不加载缓存文件 /coding/audio_classifying/unprocessed_data/TAU22_train_pro_1s.pt
索引映射构建完成，总样本数: 30000

======================================================================
Phase 0a: Contrastive Pre-training (SimCLR → SupCon)
  - First half: SimCLR (all classes, no label leakage)
  - Second half: SupCon (base classes only, discriminative)
  - yamnet last layers unfrozen for acoustic scene adaptation
======================================================================
FeatureExtractor: loaded YAMNet pretrained weights from yamnet.pth (FC layers random)

======================================================================
Phase 0a: Contrastive Pre-training
======================================================================
Samples:         30000
Epochs:          200
Batch size:      2048
Temperature:     0.1
Backbone unfreeze: ['layer7', 'layer8', 'layer9', 'layer10', 'layer11', 'layer12', 'layer13', 'layer14']
Mode:            SimCLR (ep 1-100) → SupCon (ep 101-200)
Base classes:    [0, 1, 2, 3, 4, 5]
======================================================================

Epoch 107/200 [SupCon] | Loss: 7.9255 | LR: 1.34e-04
Epoch 108/200 [SupCon] | Loss: 7.9076 | LR: 1.31e-04
Epoch 109/200 [SupCon] | Loss: 7.8938 | LR: 1.29e-04
Epoch 110/200 [SupCon] | Loss: 7.8863 | LR: 1.27e-04
Epoch 111/200 [SupCon] | Loss: 7.8779 | LR: 1.24e-04
Epoch 112/200 [SupCon] | Loss: 7.8615 | LR: 1.22e-04
Epoch 113/200 [SupCon] | Loss: 7.8533 | LR: 1.20e-04
Epoch 114/200 [SupCon] | Loss: 7.8441 | LR: 1.17e-04
Epoch 115/200 [SupCon] | Loss: 7.8356 | LR: 1.15e-04
Epoch 116/200 [SupCon] | Loss: 7.8268 | LR: 1.13e-04
Epoch 117/200 [SupCon] | Loss: 7.8229 | LR: 1.10e-04
Epoch 118/200 [SupCon] | Loss: 7.8154 | LR: 1.08e-04
Epoch 119/200 [SupCon] | Loss: 7.8126 | LR: 1.06e-04
Epoch 120/200 [SupCon] | Loss: 7.8094 | LR: 1.04e-04
Epoch 121/200 [SupCon] | Loss: 7.7974 | LR: 1.01e-04
Epoch 122/200 [SupCon] | Loss: 7.7952 | LR: 9.93e-05
Epoch 123/200 [SupCon] | Loss: 7.7920 | LR: 9.70e-05
Epoch 124/200 [SupCon] | Loss: 7.7866 | LR: 9.48e-05
Epoch 125/200 [SupCon] | Loss: 7.7829 | LR: 9.27e-05
Epoch 126/200 [SupCon] | Loss: 7.7732 | LR: 9.05e-05
Epoch 127/200 [SupCon] | Loss: 7.7738 | LR: 8.83e-05
Epoch 128/200 [SupCon] | Loss: 7.7714 | LR: 8.62e-05
Epoch 129/200 [SupCon] | Loss: 7.7636 | LR: 8.41e-05
Epoch 130/200 [SupCon] | Loss: 7.7631 | LR: 8.20e-05
Epoch 131/200 [SupCon] | Loss: 7.7517 | LR: 7.99e-05
Epoch 132/200 [SupCon] | Loss: 7.7538 | LR: 7.78e-05
Epoch 133/200 [SupCon] | Loss: 7.7511 | LR: 7.58e-05
Epoch 134/200 [SupCon] | Loss: 7.7473 | LR: 7.37e-05
Epoch 135/200 [SupCon] | Loss: 7.7461 | LR: 7.17e-05
Epoch 136/200 [SupCon] | Loss: 7.7439 | LR: 6.97e-05
Epoch 137/200 [SupCon] | Loss: 7.7393 | LR: 6.77e-05
Epoch 138/200 [SupCon] | Loss: 7.7342 | LR: 6.58e-05
Epoch 139/200 [SupCon] | Loss: 7.7303 | LR: 6.38e-05
Epoch 140/200 [SupCon] | Loss: 7.7246 | LR: 6.19e-05
Epoch 141/200 [SupCon] | Loss: 7.7269 | LR: 6.00e-05
Epoch 142/200 [SupCon] | Loss: 7.7273 | LR: 5.81e-05
Epoch 143/200 [SupCon] | Loss: 7.7235 | LR: 5.63e-05
Epoch 144/200 [SupCon] | Loss: 7.7212 | LR: 5.45e-05
Epoch 145/200 [SupCon] | Loss: 7.7170 | LR: 5.27e-05
Epoch 146/200 [SupCon] | Loss: 7.7144 | LR: 5.09e-05
Epoch 147/200 [SupCon] | Loss: 7.7166 | LR: 4.91e-05
Epoch 148/200 [SupCon] | Loss: 7.7120 | LR: 4.74e-05
Epoch 149/200 [SupCon] | Loss: 7.7104 | LR: 4.57e-05
Epoch 150/200 [SupCon] | Loss: 7.7080 | LR: 4.40e-05
Epoch 151/200 [SupCon] | Loss: 7.7088 | LR: 4.24e-05
Epoch 152/200 [SupCon] | Loss: 7.7049 | LR: 4.07e-05
Epoch 153/200 [SupCon] | Loss: 7.7029 | LR: 3.91e-05
Epoch 154/200 [SupCon] | Loss: 7.6991 | LR: 3.76e-05
Epoch 155/200 [SupCon] | Loss: 7.7048 | LR: 3.60e-05
Epoch 156/200 [SupCon] | Loss: 7.6998 | LR: 3.45e-05
Epoch 157/200 [SupCon] | Loss: 7.6953 | LR: 3.30e-05
Epoch 158/200 [SupCon] | Loss: 7.6985 | LR: 3.16e-05
Epoch 159/200 [SupCon] | Loss: 7.7026 | LR: 3.01e-05
Epoch 160/200 [SupCon] | Loss: 7.6979 | LR: 2.87e-05
Epoch 161/200 [SupCon] | Loss: 7.6964 | LR: 2.74e-05
Epoch 162/200 [SupCon] | Loss: 7.6912 | LR: 2.60e-05
Epoch 163/200 [SupCon] | Loss: 7.6895 | LR: 2.47e-05
Epoch 164/200 [SupCon] | Loss: 7.6924 | LR: 2.34e-05
Epoch 165/200 [SupCon] | Loss: 7.6893 | LR: 2.22e-05
Epoch 166/200 [SupCon] | Loss: 7.6856 | LR: 2.10e-05
Epoch 167/200 [SupCon] | Loss: 7.6896 | LR: 1.98e-05
Epoch 168/200 [SupCon] | Loss: 7.6873 | LR: 1.86e-05
Epoch 169/200 [SupCon] | Loss: 7.6867 | LR: 1.75e-05
Epoch 170/200 [SupCon] | Loss: 7.6852 | LR: 1.64e-05
Epoch 171/200 [SupCon] | Loss: 7.6836 | LR: 1.54e-05
Epoch 172/200 [SupCon] | Loss: 7.6857 | LR: 1.44e-05
Epoch 173/200 [SupCon] | Loss: 7.6838 | LR: 1.34e-05
Epoch 174/200 [SupCon] | Loss: 7.6850 | LR: 1.24e-05
Epoch 175/200 [SupCon] | Loss: 7.6828 | LR: 1.15e-05
Epoch 176/200 [SupCon] | Loss: 7.6828 | LR: 1.06e-05
Epoch 177/200 [SupCon] | Loss: 7.6813 | LR: 9.78e-06
Epoch 178/200 [SupCon] | Loss: 7.6842 | LR: 8.96e-06
Epoch 179/200 [SupCon] | Loss: 7.6824 | LR: 8.18e-06
Epoch 180/200 [SupCon] | Loss: 7.6825 | LR: 7.44e-06
Epoch 181/200 [SupCon] | Loss: 7.6766 | LR: 6.73e-06
Epoch 182/200 [SupCon] | Loss: 7.6772 | LR: 6.05e-06
Epoch 183/200 [SupCon] | Loss: 7.6790 | LR: 5.41e-06
Epoch 184/200 [SupCon] | Loss: 7.6802 | LR: 4.81e-06
Epoch 185/200 [SupCon] | Loss: 7.6814 | LR: 4.24e-06
Epoch 186/200 [SupCon] | Loss: 7.6794 | LR: 3.71e-06
Epoch 187/200 [SupCon] | Loss: 7.6798 | LR: 3.22e-06
Epoch 188/200 [SupCon] | Loss: 7.6810 | LR: 2.76e-06
Epoch 189/200 [SupCon] | Loss: 7.6784 | LR: 2.33e-06
Epoch 190/200 [SupCon] | Loss: 7.6777 | LR: 1.95e-06
Epoch 191/200 [SupCon] | Loss: 7.6785 | LR: 1.60e-06
Epoch 192/200 [SupCon] | Loss: 7.6752 | LR: 1.28e-06
